videoId,author,publishedAt,likeCount,search_keyword,video_title,teks_bersih,hashtags,text,teks_bersih_lower,"1 = Pos, 2 = Net, 3 = Neg"
6b1MGWf2YmE,@TugasOnline.,2025-05-19T15:00:19Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,Gk peduli lebih kaya mana  intinya mobil gua gtr r35 udah syukur & seneng hehe,#exoticcarsbandung #shorts,Gk peduli lebih kaya mana 😂 intinya mobil gua gtr r35 udah syukur & seneng hehe,gk peduli lebih kaya mana  intinya mobil gua gtr r35 udah syukur & seneng hehe,2
6b1MGWf2YmE,@vibesbillionaire,2025-05-16T07:20:05Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,P by one(B1),#exoticcarsbandung #shorts,P by one(B1),p by one(b1),2
6b1MGWf2YmE,@shofashowtv5247,2025-05-16T01:58:31Z,1,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,"Orang kaya dilihat dari saldo dan asetnya, gak ada hubungan sama sekali sama Plat Kendaraan.

 Hanya orang miskin yang menilai kekayaan dari nomor Plat.",#exoticcarsbandung #shorts,"Orang kaya dilihat dari saldo dan asetnya, gak ada hubungan sama sekali sama Plat Kendaraan.

😂😅 Hanya orang miskin yang menilai kekayaan dari nomor Plat.😅😂","orang kaya dilihat dari saldo dan asetnya, gak ada hubungan sama sekali sama plat kendaraan.

 hanya orang miskin yang menilai kekayaan dari nomor plat.",3
6b1MGWf2YmE,@jakamaulanaputra1832,2025-05-11T02:41:47Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,Nah ini asli,#exoticcarsbandung #shorts,Nah ini asli,nah ini asli,1
6b1MGWf2YmE,@BaliDroneServices,2025-05-10T08:23:44Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,Bukan Brio terbaru pula tuh. Itu kan Brio RS tahun 2018 ya? Astagah... mahalan pajak nopolnya drpd service bulanannya dikalikan 12 bulan ya?,#exoticcarsbandung #shorts,Bukan Brio terbaru pula tuh. Itu kan Brio RS tahun 2018 ya? Astagah... mahalan pajak nopolnya drpd service bulanannya dikalikan 12 bulan ya?,bukan brio terbaru pula tuh. itu kan brio  tahun 2018 ya? astagah... mahalan pajak nopolnya drpd service bulanannya dikalikan 12 bulan ya?,2
6b1MGWf2YmE,@angel_bloodfallen,2025-05-06T03:53:27Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,Udah lah lu tu semua kaya ga ada yg miskin maka bersyukurlah !!!,#exoticcarsbandung #shorts,Udah lah lu tu semua kaya ga ada yg miskin maka bersyukurlah !!!,udah lah lu tu semua kaya ga ada yg miskin maka bersyukurlah !!!,2
6b1MGWf2YmE,@L44NG,2025-05-05T07:29:07Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,NGGAK MAHAL KALO MASIH SAINGAN SAMA ORG SUSAH COBA KEDUBAI SAINGANNYA ORG BENERAN KAYA,#exoticcarsbandung #shorts,NGGAK MAHAL KALO MASIH SAINGAN SAMA ORG SUSAH COBA KEDUBAI SAINGANNYA ORG BENERAN KAYA💀,nggak mahal kalo masih saingan sama org susah coba kedubai saingannya org beneran kaya,2
6b1MGWf2YmE,@Obelix-n8f,2025-05-05T06:42:17Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,Gak mungkin,#exoticcarsbandung #shorts,Gak mungkin,gak mungkin,2
6b1MGWf2YmE,@boykekhadafi5980,2025-05-04T11:41:52Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,Mau plat nomor nya harga 1 miliar pun g akan bs merubah mobil brio jd mobil koeniseg dan lambo...tetap aj rasa brio LCGC...,#exoticcarsbandung #shorts,Mau plat nomor nya harga 1 miliar pun g akan bs merubah mobil brio jd mobil koeniseg dan lambo...tetap aj rasa brio LCGC...😂😂😂😂😂😂😂,mau plat nomor nya harga 1 miliar pun g akan bs merubah mobil brio jd mobil koeniseg dan lambo...tetap aj rasa brio lcgc...,3
6b1MGWf2YmE,@sky_indonesia17,2025-05-04T07:08:57Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,"MOBIL MOBIL NGEBUT TU GA COCOK BUAT DIJALAN PADAT DAN RAME, ENTAR MALAH NABRAK BISA-BISA",#exoticcarsbandung #shorts,"MOBIL MOBIL NGEBUT TU GA COCOK BUAT DIJALAN PADAT DAN RAME, ENTAR MALAH NABRAK BISA-BISA","mobil mobil ngebut tu ga cocok buat dijalan padat dan rame, entar malah nabrak bisa-bisa",3
6b1MGWf2YmE,@Neat_CH,2025-05-03T01:24:53Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,kata sprot car : anjay bisa kek gitu ya,#exoticcarsbandung #shorts,kata sprot car : anjay bisa kek gitu ya,kata sprot car : anjay bisa kek gitu ya,2
6b1MGWf2YmE,@dedikirawan6747,2025-04-27T00:05:41Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,wow,#exoticcarsbandung #shorts,wow,wow,2
6b1MGWf2YmE,@YoggiPramana,2025-04-25T08:08:34Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,"Percuma kaya harta, tapi kalau MISKIN HATI",#exoticcarsbandung #shorts,"Percuma kaya harta, tapi kalau MISKIN HATI😂😂😂","percuma kaya harta, tapi kalau miskin hati",2
6b1MGWf2YmE,@monangsirait8044,2025-04-25T02:13:05Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,Sama2 tol.ol,#exoticcarsbandung #shorts,Sama2 tol.ol😂😂,sama2 tol.ol,3
6b1MGWf2YmE,@Satriolanggengharyadi,2025-04-25T00:22:08Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,Tetap R 1 = PRABOWO,#exoticcarsbandung #shorts,Tetap R 1 = PRABOWO,tetap r 1 itu prabowo,2
6b1MGWf2YmE,@sriwahyuti-cf4wm,2025-04-24T13:37:23Z,1,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,Tu harga mobil sama platnya mahalan plat nomernya,#exoticcarsbandung #shorts,Tu harga mobil sama platnya mahalan plat nomernya,tu harga mobil sama platnya mahalan plat nomernya,3
6b1MGWf2YmE,@atmchanel9784,2025-04-24T13:10:12Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,"Diajak satu lawan satu gak tuh 
Sebenernya dia sedekah ke Negara karna setiap dia keluar dia slalu kena tilang  trima kasih orang baik ",#exoticcarsbandung #shorts,"Diajak satu lawan satu gak tuh 😂
Sebenernya dia sedekah ke Negara karna setiap dia keluar dia slalu kena tilang 😅 trima kasih orang baik 🙏","diajak satu lawan satu gak tuh 
sebenernya dia sedekah ke negara karna setiap dia keluar dia slalu kena tilang  trima kasih orang baik ",2
6b1MGWf2YmE,@Mashaa222,2025-04-22T14:17:07Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,"Koenigseg vs brio 
Jadi lebih sultan brio gitu?
wkwkwk",#exoticcarsbandung #shorts,"Koenigseg vs brio 😅
Jadi lebih sultan brio gitu?
😁wkwkwk","koenigseg vs brio 
jadi lebih sultan brio gitu?
wkwkwk",3
6b1MGWf2YmE,@Musikataid,2025-04-22T08:53:49Z,1,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,"Pemilik hypermobil Esemka ""punten""",#exoticcarsbandung #shorts,"Pemilik hypermobil Esemka ""punten""","pemilik hypermobil esemka ""punten""",2
6b1MGWf2YmE,@redzaharisabdillah9931,2025-04-21T07:28:21Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,"Nomor cantik mobil tertuang dalam Peraturan Pemerintah (PP) Nomor 60 Tahun 2016 mengenai Jenis dan Tarif PNB (Penerimaan Negara Bukan Pajak) yang berlaku pada Polri dan Keputusan Kakorlantas Polri Nomor : Kep/166/VII/2019 tentang NRKB Pilihan, plat nmr 1 digit dan tanpa huruf dibelakangnya dibandrol 20jt per 5 tahun, seandainya ada orang berminat dengan pelat nomor tersebut mungkin bisa saja menawar kepada pemilik sebelumnya dengan harga suka-suka. ",#exoticcarsbandung #shorts,"Nomor cantik mobil tertuang dalam Peraturan Pemerintah (PP) Nomor 60 Tahun 2016 mengenai Jenis dan Tarif PNB (Penerimaan Negara Bukan Pajak) yang berlaku pada Polri dan Keputusan Kakorlantas Polri Nomor : Kep/166/VII/2019 tentang NRKB Pilihan, plat nmr 1 digit dan tanpa huruf dibelakangnya dibandrol 20jt per 5 tahun, seandainya ada orang berminat dengan pelat nomor tersebut mungkin bisa saja menawar kepada pemilik sebelumnya dengan harga suka-suka. 😂😊","nomor cantik mobil tertuang dalam peraturan pemerintah (pp) nomor 60 tahun 2016 mengenai jenis dan tarif pnb (penerimaan negara bukan pajak) yang berlaku pada polri dan keputusan kakorlantas polri nomor : kep/166/vii/2019 tentang nrkb pilihan, plat nmr 1 digit dan tanpa huruf dibelakangnya dibandrol 20jt per 5 tahun, seandainya ada orang berminat dengan pelat nomor tersebut mungkin bisa saja menawar kepada pemilik sebelumnya dengan harga suka-suka. ",2
6b1MGWf2YmE,@mayari191,2025-04-20T16:02:29Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,Emg mahal seh custom plat..gw aja custom plat mobil gw nama gw sama taon nikah gw kena 15jt cuk..tp bayar pajak nya biasa aja hehe tp ga tau ya kl plat 1 doank gtu..setahu gw kata sales nya yg paling mahal tu kl angka nya susah atw kembar gtu seh,#exoticcarsbandung #shorts,Emg mahal seh custom plat..gw aja custom plat mobil gw nama gw sama taon nikah gw kena 15jt cuk..tp bayar pajak nya biasa aja hehe tp ga tau ya kl plat 1 doank gtu..setahu gw kata sales nya yg paling mahal tu kl angka nya susah atw kembar gtu seh,emg mahal seh custom plat..gw aja custom plat mobil gw nama gw sama taon nikah gw kena 15jt cuk..tp bayar pajak nya biasa aja hehe tp ga tau ya kl plat 1 doank gtu..setahu gw kata sales nya yg paling mahal tu kl angka nya susah atw kembar gtu seh,1
6b1MGWf2YmE,@arifhidayatullah4330,2025-04-19T13:52:09Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,bikin di tukang plat 150rb kl yg bisa nyala akrilik 500rb. kaya kaya ndasmu,#exoticcarsbandung #shorts,bikin di tukang plat 150rb kl yg bisa nyala akrilik 500rb. kaya kaya ndasmu,bikin di tukang plat 150rb kl yg bisa nyala akrilik 500rb. kaya kaya ndasmu,3
6b1MGWf2YmE,@Diana-ps2lu,2025-04-18T22:14:07Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,"Pernah dpt mobil accord dng plat no N 1 ko, pas tangan pertamanya tp waktu d jual ke saya plat no nya dah berganti byasa 4 digit....,..",#exoticcarsbandung #shorts,"Pernah dpt mobil accord dng plat no N 1 ko, pas tangan pertamanya😅 tp waktu d jual ke saya plat no nya dah berganti byasa 4 digit....,..","pernah dpt mobil accord dng plat no n 1 ko, pas tangan pertamanya tp waktu d jual ke saya plat no nya dah berganti byasa 4 digit....,..",1
6b1MGWf2YmE,@hendrosusilo810,2025-04-18T07:39:47Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,Orang kaya itu yg melakukan 2 raka'at sebelum subuh.,#exoticcarsbandung #shorts,Orang kaya itu yg melakukan 2 raka'at sebelum subuh.,orang kaya itu yg melakukan 2 raka'at sebelum subuh.,2
6b1MGWf2YmE,@Andi-wb5dw,2025-04-18T03:38:57Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,Flat doang. Goblok emang gengsi konoha,#exoticcarsbandung #shorts,Flat doang. Goblok emang gengsi konoha,flat doang. goblok emang gengsi konoha,3
6b1MGWf2YmE,@frostx-md4ev,2025-04-17T18:18:48Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,Pajak plat aja ga nyampe pajak senna,#exoticcarsbandung #shorts,Pajak plat aja ga nyampe pajak senna 😂,pajak plat aja ga nyampe pajak senna,3
6b1MGWf2YmE,@madamanime1867,2025-04-17T08:19:18Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,"Harganya sama speknya beda yang pertama enak dipandang yang kedua biasa saja, yang pertama top speed yang kedua secepat motor beat, yang pertama impian semua orang, yang kedua semua orang hampir punya karena murah.",#exoticcarsbandung #shorts,"Harganya sama speknya beda yang pertama enak dipandang yang kedua biasa saja, yang pertama top speed yang kedua secepat motor beat, yang pertama impian semua orang, yang kedua semua orang hampir punya karena murah.😂😂😂😂","harganya sama speknya beda yang pertama enak dipandang yang kedua biasa saja, yang pertama top speed yang kedua secepat motor beat, yang pertama impian semua orang, yang kedua semua orang hampir punya karena murah.",3
6b1MGWf2YmE,@expedisialam00-00,2025-04-16T18:28:37Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,Plat palsu cek di pajak gak ada,#exoticcarsbandung #shorts,Plat palsu cek di pajak gak ada,plat palsu cek di pajak gak ada,3
6b1MGWf2YmE,@Anggota1-e2u,2025-04-16T08:52:56Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,Harga koenieggsegg jesko aja 45 Miliar masa plat nomer 20 juta lebih mahal,#exoticcarsbandung #shorts,Harga koenieggsegg jesko aja 45 Miliar masa plat nomer 20 juta lebih mahal😂,harga koenieggsegg jesko aja 45 miliar masa plat nomer 20 juta lebih mahal,3
6b1MGWf2YmE,@boyboy-xr9uj,2025-04-16T05:44:41Z,1,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,Orang kaya adalah orang yang banyak hartanya dengan cara yg halal,#exoticcarsbandung #shorts,Orang kaya adalah orang yang banyak hartanya dengan cara yg halal,orang kaya adalah orang yang banyak hartanya dengan cara yg halal,2
6b1MGWf2YmE,@Suryojokochannel,2025-04-15T01:24:29Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,Izin remix bang,#exoticcarsbandung #shorts,Izin remix bang,izin remix bang,2
6b1MGWf2YmE,@AyuSimanjuntak-q6x,2025-04-14T21:19:20Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,"Setau aku yang nama nya orang kaya itu berani buang buang uang di depan orang banyak, kalo masi buat sendiri gak usah ngaku kaya.",#exoticcarsbandung #shorts,"Setau aku yang nama nya orang kaya itu berani buang buang uang di depan orang banyak, kalo masi buat sendiri gak usah ngaku kaya.","setau aku yang nama nya orang kaya itu berani buang buang uang di depan orang banyak, kalo masi buat sendiri gak usah ngaku kaya.",3
6b1MGWf2YmE,@deddygiririndjani635,2025-04-14T12:59:55Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,Mobil nya hond Brio plat no nya B 1,#exoticcarsbandung #shorts,Mobil nya hond Brio plat no nya B 1 😫🤑,mobil nya honda brio plat no nya b 1,2
6b1MGWf2YmE,@galerypabboto6465,2025-04-13T17:46:03Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,Banyak di pinggir jalan atau di shopee custom nomer plat,#exoticcarsbandung #shorts,Banyak di pinggir jalan atau di shopee custom nomer plat😂,banyak di pinggir jalan atau di shopee custom nomer plat,1
6b1MGWf2YmE,@pejuang_solos,2025-04-11T13:42:30Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,Plat nomor 1 njir,#exoticcarsbandung #shorts,Plat nomor 1 njir🗿,plat nomor 1 njir,2
6b1MGWf2YmE,@lemandsmith6343,2025-04-11T07:08:00Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,"Di Jambi ada yg keren 
BH 514 PA",#exoticcarsbandung #shorts,"Di Jambi ada yg keren 
BH 514 PA","di jambi ada yg keren 
bh 514 pa",2
6b1MGWf2YmE,@behappy4j4,2025-04-11T03:12:56Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,Kasta tertinggi lcgc 1200cc ya brio,#exoticcarsbandung #shorts,Kasta tertinggi lcgc 1200cc ya brio,kasta tertinggi lcgc 1200cc ya brio,1
6b1MGWf2YmE,@Andrian-s9s,2025-04-10T20:12:48Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,"Brio tu bayar pajak ngilang 1 angka 10jt  ato lebih, dn bisa jd klo 5angka 50jt ke 60jt,, contoh B 1234 YTB/ B 1234 YT, udh 6angka dn 5ngka yg dia hapus dn bayar denda tergantu 1angka di STNK,stiap perpanjangan surat surat",#exoticcarsbandung #shorts,"Brio tu bayar pajak ngilang 1 angka 10jt  ato lebih, dn bisa jd klo 5angka 50jt ke 60jt,, contoh B 1234 YTB/ B 1234 YT, udh 6angka dn 5ngka yg dia hapus dn bayar denda tergantu 1angka di STNK,stiap perpanjangan surat surat😂","brio tu bayar pajak ngilang 1 angka 10jt  ato lebih, dn bisa jd klo 5angka 50jt ke 60jt,, contoh b 1234 ytb/ b 1234 yt, udh 6angka dn 5ngka yg dia hapus dn bayar denda tergantu 1angka di stnk,stiap perpanjangan surat surat",1
6b1MGWf2YmE,@chanelkw2,2025-04-10T19:35:37Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,B 3124 K di kebon,#exoticcarsbandung #shorts,B 3124 K di kebon,b 3124 k di kebon,3
6b1MGWf2YmE,@hendrataaan2556,2025-04-10T08:30:44Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,"Prinsip saya ,kalau saya bisa sekaya 9 naga ,saya tidak membeli supercar , yg paling baik inves properti ,emas ,",#exoticcarsbandung #shorts,"Prinsip saya ,kalau saya bisa sekaya 9 naga ,saya tidak membeli supercar , yg paling baik inves properti ,emas ,","prinsip saya ,kalau saya bisa sekaya 9 naga ,saya tidak membeli supercar , yg paling baik inves properti ,emas ,",2
6b1MGWf2YmE,@animariani6768,2025-04-10T06:46:56Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,iyaaa,#exoticcarsbandung #shorts,🎉iyaaa😢😢😅,iyaaa,2
6b1MGWf2YmE,@mencarijalankeluar0,2025-04-10T03:47:25Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,Di dubai plat cantik lelang tapi kalau di konoha plat cantik ketok sendiri,#exoticcarsbandung #shorts,Di dubai plat cantik lelang tapi kalau di konoha plat cantik ketok sendiri 😂,di dubai plat cantik lelang tapi kalau di konoha plat cantik ketok sendiri,2
6b1MGWf2YmE,@huseinarief8410,2025-04-10T01:33:53Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,"Klau Brio pake plat bgono ,,mahalan hrg plat nya ..ga nymbung",#exoticcarsbandung #shorts,"Klau Brio pake plat bgono ,,mahalan hrg plat nya ..ga nymbung","klau brio pake plat bgono ,,mahalan hrg plat nya ..ga nymbung",3
6b1MGWf2YmE,@aditya-wr155,2025-04-09T06:37:17Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,kok bisa dapet B1? dulu dia dapet dari lelang kah?,#exoticcarsbandung #shorts,kok bisa dapet B1? dulu dia dapet dari lelang kah?,kok bisa dapet b1? dulu dia dapet dari lelang kah?,2
6b1MGWf2YmE,@bolosepur2648,2025-04-09T02:21:29Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,yg RS gak masok lcgc,#exoticcarsbandung #shorts,yg RS gak masok lcgc,yg rs gak masok lcgc,3
6b1MGWf2YmE,@DJParnaOfficial,2025-04-09T02:03:28Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,demi gengsi untuk hal yg sama sekali ga berguna.,#exoticcarsbandung #shorts,demi gengsi untuk hal yg sama sekali ga berguna.,demi gengsi untuk hal yg sama sekali ga berguna.,3
6b1MGWf2YmE,@Byorka1735cker,2025-04-08T15:43:24Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,"EMG berapa buat plat kyk gitu harganya, apakah lebih mahal platnya dari pada mobilnya",#exoticcarsbandung #shorts,"EMG berapa buat plat kyk gitu harganya, apakah lebih mahal platnya dari pada mobilnya","emg berapa buat plat kyk gitu harganya, apakah lebih mahal platnya dari pada mobilnya",2
